name,email,password,divisi,role
"Panca Mulyani, S.Gz",dongoranasmuni@gmail.com,!Mh7xJd4AA,Web Development,USER
Lega Rajata,maria68@gmail.com,_b4xY^ks$+,ITNSA,USER
dr. Gasti Gunawan,samosirluluh@gmail.com,Ln+Oc5JuQ^,ITNSA,USER
Kurnia Wulandari,yuliantialmira@gmail.com,Udua7AGwu#,Cyber Security,USER
"Devi Mansur, S.Pt",pranawawidiastuti@gmail.com,$wJjfAngH7,Cyber Security,USER
Tantri Hutapea,laila36@gmail.com,btpqB$Wy_0,ITNSA,USER
Gambira Sihombing,fsuwarno@gmail.com,76_1Ax2bM+,Cyber Security,USER
Bakiadi Samosir,bahuraksa19@gmail.com,#JJSG!#u0x,ITNSA,USER
dr. Maida Kusmawati,narpatiajimin@gmail.com,*xQ4vR(rFl,Cyber Security,USER
Mila Sirait,gmangunsong@gmail.com,Ce(9uMkbf!,Cyber Security,USER
Rini Saragih,daliman16@gmail.com,lW0bEJHy!+,ITNSA,USER
"Paulin Rahayu, M.Ak",paiman94@gmail.com,!%9+Zoq$iP,ITNSA,USER
Ira Haryanti,yuniarartanto@gmail.com,3*4CAgyDLE,Web Development,USER
Pia Kusmawati,nurainimila@gmail.com,*o+1K7dWrH,ITNSA,USER
Sutan Hairyanto Latupono,jayeng48@gmail.com,)6UehEDDhq,Web Development,USER
dr. Latika Prastuti,vyolanda@gmail.com,9DT4RAt5*e,Web Development,USER
Carla Januar,hnurdiyanti@gmail.com,_KMcX9Smt9,Cyber Security,USER
Nardi Sihombing,parmanastuti@gmail.com,x_W1(qZu7!,Cyber Security,USER
Sutan Hardi Nababan,lulutirawan@gmail.com,jq9eCMvE!#,Web Development,USER
Ir. Rahmi Wijaya,oskararyani@gmail.com,&V#)9GtW8v,Web Development,USER
Gaduh Haryanto,nurdiyantipandu@gmail.com,6f+nN)fB&&,ITNSA,USER
"Syahrini Prastuti, S.Psi",xusamah@gmail.com,#7&_D#Styx,Web Development,USER
Dacin Mansur,anggriawanjessica@gmail.com,)OYvPoPsx6,Cyber Security,USER
"Lala Halim, S.Psi",qpranowo@gmail.com,ds)2KkkL_I,Cyber Security,USER
"R.M. Hartana Hutapea, M.Pd",dprasetya@gmail.com,(42UgccxPl,ITNSA,USER
Vicky Hassanah,irsad27@gmail.com,psZ6Fd(v!u,ITNSA,USER
"Oliva Hidayanto, S.Farm",rmaryati@gmail.com,@r^n87Lz*N,ITNSA,USER
Harimurti Kusumo,flaksmiwati@gmail.com,mSvUTnw1$1,Cyber Security,USER
Drs. Upik Firmansyah,murtisihombing@gmail.com,&FE*p0wu83,Cyber Security,USER
"Puti Ilsa Maheswara, S.Ked",kamariaardianto@gmail.com,&M8PKz(ooh,Cyber Security,USER
Anggabaya Najmudin,maulanatania@gmail.com,+WH$ms6c5O,Web Development,USER
Olga Simanjuntak,putri41@gmail.com,$6D1Bqo3O$,ITNSA,USER
